scene_id,OID,lng,lat,date,image_path,filename,image_url
S0064,57812,106.51479,29.516226,201906,images/57812_106.51479_29.516226_201906.jpg,57812_106.51479_29.516226_201906.jpg,https://pub-038359eb657f4df5960d0f9964bb67a2.r2.dev/57812_106.51479_29.516226_201906.jpg
S0065,53173,106.519913,29.522691,201906,images/53173_106.519913_29.522691_201906.jpg,53173_106.519913_29.522691_201906.jpg,https://pub-038359eb657f4df5960d0f9964bb67a2.r2.dev/53173_106.519913_29.522691_201906.jpg
S0066,41449,106.480024,29.592515,202210,images/41449_106.480024_29.592515_202210.jpg,41449_106.480024_29.592515_202210.jpg,https://pub-038359eb657f4df5960d0f9964bb67a2.r2.dev/41449_106.480024_29.592515_202210.jpg
S0067,56773,106.531068,29.582702,202210,images/56773_106.531068_29.582702_202210.jpg,56773_106.531068_29.582702_202210.jpg,https://pub-038359eb657f4df5960d0f9964bb67a2.r2.dev/56773_106.531068_29.582702_202210.jpg
S0068,47356,106.581018,29.592901,202210,images/47356_106.581018_29.592901_202210.jpg,47356_106.581018_29.592901_202210.jpg,https://pub-038359eb657f4df5960d0f9964bb67a2.r2.dev/47356_106.581018_29.592901_202210.jpg
S0069,12603,106.471734,29.507204,201906,images/12603_106.471734_29.507204_201906.jpg,12603_106.471734_29.507204_201906.jpg,https://pub-038359eb657f4df5960d0f9964bb67a2.r2.dev/12603_106.471734_29.507204_201906.jpg
S0070,22524,106.515954,29.535752,202005,images/22524_106.515954_29.535752_202005.jpg,22524_106.515954_29.535752_202005.jpg,https://pub-038359eb657f4df5960d0f9964bb67a2.r2.dev/22524_106.515954_29.535752_202005.jpg
S0071,19627,106.536181,29.491892,201711,images/19627_106.536181_29.491892_201711.jpg,19627_106.536181_29.491892_201711.jpg,https://pub-038359eb657f4df5960d0f9964bb67a2.r2.dev/19627_106.536181_29.491892_201711.jpg
S0072,52667,106.496971,29.53895,201906,images/52667_106.496971_29.53895_201906.jpg,52667_106.496971_29.53895_201906.jpg,https://pub-038359eb657f4df5960d0f9964bb67a2.r2.dev/52667_106.496971_29.53895_201906.jpg
S0073,283,106.528856,29.491552,201711,images/283_106.528856_29.491552_201711.jpg,283_106.528856_29.491552_201711.jpg,https://pub-038359eb657f4df5960d0f9964bb67a2.r2.dev/283_106.528856_29.491552_201711.jpg
